МосАптека;288064200,8
Первая Помощь;13613570,91
Самсон Фарма;1687053699,12
Супераптека;5865139,52
Хорошая Аптека;112653309,1
Доктор Столетов;875381030,54
Озерки;559835942,99
Озерки у дома;107231870,45
Радуга;15604080,89
