,0,1,2
199,05.09.2018,1,489249
200,06.09.2018,1,490536
201,07.09.2018,1,490789
202,08.09.2018,1,494038
203,11.09.2018,1,496905
204,12.09.2018,1,498358
205,13.09.2018,1,495567
206,14.09.2018,1,492951
207,15.09.2018,1,492181
208,18.09.2018,1,488964
209,19.09.2018,1,488288
210,20.09.2018,1,485754
211,21.09.2018,1,483122
212,22.09.2018,1,483623
213,25.09.2018,1,481376
214,26.09.2018,1,476700
215,27.09.2018,1,477341
216,28.09.2018,1,476122
217,29.09.2018,1,473499
218,02.10.2018,1,473186
219,03.10.2018,1,468425
220,04.10.2018,1,468504
221,05.10.2018,1,468380
222,06.10.2018,1,470520
223,09.10.2018,1,471860
224,10.10.2018,1,469537
225,11.10.2018,1,470099
226,12.10.2018,1,473352
227,13.10.2018,1,469677
228,16.10.2018,1,468672
229,17.10.2018,1,467101
230,18.10.2018,1,467759
231,19.10.2018,1,468479
232,20.10.2018,1,467872
233,23.10.2018,1,464003
234,24.10.2018,1,462526
235,25.10.2018,1,464791
236,26.10.2018,1,464704
237,27.10.2018,1,461345
238,30.10.2018,1,467206
239,31.10.2018,1,466668
240,01.11.2018,1,464749
241,02.11.2018,1,469607
242,03.11.2018,1,474798
243,07.11.2018,1,476786
244,08.11.2018,1,480025
245,09.11.2018,1,482777
246,10.11.2018,1,484192
247,13.11.2018,1,485699
248,14.11.2018,1,488049
249,15.11.2018,1,489786
250,16.11.2018,1,485896
251,17.11.2018,1,480430
252,20.11.2018,1,483245
253,21.11.2018,1,478720
254,22.11.2018,1,477533
255,23.11.2018,1,474993
256,24.11.2018,1,475950
257,27.11.2018,1,483308
258,28.11.2018,1,482953
259,29.11.2018,1,483935
260,30.11.2018,1,488495
261,01.12.2018,1,486426
262,04.12.2018,1,489501
263,05.12.2018,1,490244
264,06.12.2018,1,487416
265,07.12.2018,1,482247
266,08.12.2018,1,483182
267,11.12.2018,1,478066
268,12.12.2018,1,478816
269,13.12.2018,1,478707
270,14.12.2018,1,479620
271,15.12.2018,1,476462
272,18.12.2018,1,477938
273,19.12.2018,1,480500
